""	"Código de cor"	""	"Comprimento (mm)"	""	"Destino"	"Seção"	""	"Destino"	""	""	""	""	""	
""	"VT"	"=  24V"	         0	"S4"	"X3-9"	""	"S4"	"9"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"X3-9"	"X3-10"	""	"9"	"10"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S5"	"X3-10"	""	"S5"	"10"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S8"	"X3-11"	""	"S8"	"11"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"X3-11"	"X3-12"	""	"11"	"12"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S9"	"X3-12"	""	"S9"	"12"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S10"	"X3-21"	""	"S10"	"21"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"X3-21"	"X3-22"	""	"21"	"22"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S11"	"X3-22"	""	"S11"	"22"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S12"	"X3-31"	""	"S12"	"31"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"X3-31"	"X3-32"	""	"31"	"32"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"S13"	"X3-32"	""	"S13"	"32"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B2"	"B2"	""	"B2"	"B2"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B2"	"B3"	""	"B2"	"B3"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B3"	"B3"	""	"B3"	"B3"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B3"	"H2"	""	"B3"	"H2"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B1"	"B1"	""	"B1"	"B1"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B1"	"B4"	""	"B1"	"B4"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B4"	"B4"	""	"B4"	"B4"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B4"	"X3-11"	""	"B4"	"11"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B5"	"B5"	""	"B5"	"B5"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B5"	"B6"	""	"B5"	"B6"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B6"	"B6"	""	"B6"	"B6"	"L1"	"L1"	""	""	""	
""	"VT"	"=  24V"	         0	"B6"	"X3-21"	""	"B6"	"21"	"L1"	"L1"	""	""	""	
